MCC,MNC,Short Name,Long Name
724,6,VIVO,VIVO
724,8,TIM,Telecom Italia Mobile
724,10,VIVO,VIVO
724,11,VIVO,VIVO
724,15,SCTL,BRA SCTL
724,16,Oi,Oi
724,23,VIVO,VIVO
724,24,Oi,Oi
724,31,Oi,Oi
724,32,Algar,Algar Telecom
724,33,Algar,Algar Telecom
724,34,Algar,Algar Telecom
724,39,Nextel,Nextel Brasil
730,1,Entel,Entel
730,2,Movistar,Movistar
730,3,Claro,Claro
730,7,Movistar,Movistar
730,9,WOM,WOM
730,10,ENTEL,ENTEL PCS
730,730,movistar,CHL Movistar
732,101,Claro,Claro
732,103,Tigo,Tigo
732,111,Tigo,Tigo
732,123,Movistar,Movistar
732,130,Avantel,Avantel
732,187,ETB,ETB
734,2,Digitel,Digitel
734,4,movistar,movistar
734,6,MOVILNET,MOVILNET
736,1,VIVA,VIVA
736,2,EMOVIL,BOMOV
736,3,TIGO,TIGO
738,1,Digicel,Digicel
738,2,GTT+,GUY GTT + Do More
740,0,Movistar,Movistar
740,1,CLARO,CLARO
740,2,CNT,CNT
744,1,HPGYSA,HOLA PARAGUAY S.A.
744,2,CLARO PY,CLARO PY
744,4,TIGO,TIGO PY
744,5,Personal,PY Personal
746,2,TeleG,SR.TELESUR.GSM
746,3,DIGICEL,DIGICEL
748,1,Antel,Antel
748,7,Movistar,Movistar
748,10,CLARO UY,CLARO UY
750,1,Sure,Sure FLK
795,2,TM CELL,TM CELL
901,11,INX,Inmarsat
901,12,TelenorM,Telenor Maritime
901,14,AeroMob,AeroMobile
901,15,OnAir,OnAir
901,26,TIM@sea,TIM@sea
901,45,AISatSea,AISatSea
